Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Class,MINUTES
Indigo,Katherine Priddy,28,0.377,0.478,10,-8.992,0,0.0362,0.892,0.0123,0.359,0.138,139.842,4,0,4.243883333
TOBi,Shine,38,0.629,0.468,6,-9.208,1,0.256,0.531,,0.0698,0.525,148.101,4,5,4.320533333
Two Door Cinema Club,Something Good Can Work,63,0.65,0.836,,-5.101,1,0.0334,0.00553,0.00101,0.192,0.656,119.933,4,10,2.715116667
Jammz,Danger - Instrumental,17,0.716,0.57,11,-7.966,0,0.0441,0.0647,0.221,0.0749,0.303,139.906,4,5,4.2
"Mohammed Rafi, Asha Bhosle, R. D. Burman",Pal Do Pal Ka Saath Humara,21,0.484,0.508,8,-12.399,1,0.11,0.227,0.000343,0.062,0.858,102.073,4,3,10.94266667
Greta Van Fleet,"Lover, Leaver",55,0.496,0.924,9,-3.895,1,0.0507,0.00214,0.22,0.136,0.594,91.882,4,10,3.583116667
Lisel,In the Dome,13,0.317,0.479,2,-10.785,1,0.0341,0.835,0.543,0.0978,0.112,88.383,4,6,2.944916667
WALK THE MOON,Shut Up and Dance - Live Acoustic - 2015,62,0.82,0.615,,-4.548,1,0.0466,0.151,,0.204,0.768,129.874,4,9,3.233116667
Fivio Foreign,Unruly,59,0.843,0.762,9,-7.915,0,0.449,0.143,,0.35,0.542,144.856,3,5,2.64925
Le Tigre,Deceptacon,74,0.603,0.864,4,-3.341,0,0.0668,0.055,0.00493,0.0986,0.616,160.488,4,6,3.077116667
Adam Melchor,Moon in the Morning,60,0.458,0.464,5,-9.126,0,0.031,0.799,3.42E-05,0.109,0.256,122.821,4,6,3.237783333
Peach Tree Rascals,Deer,43,0.951,0.464,2,-5.252,1,0.0477,0.0704,0.0332,0.135,0.947,137.039,4,6,2.901666667
Oasis,Wonderwall,78,0.378,0.896,2,-4.066,1,0.0407,0.000452,,0.194,0.469,174.302,4,10,4.312883333
Kelly Clarkson,Where Is Your Heart,37,0.48,0.614,5,-4.62,1,0.0301,0.128,,0.327,0.17,141.816,4,10,4.65155
Deep Purple,Smoke On The Water - Remastered 2012,74,0.598,0.676,,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,4,10,5.679033333
Surfer Blood,Parkland (Into the Silence),26,0.414,0.828,9,-6.395,1,0.0354,0.0411,0.00942,0.107,0.894,175.883,4,1,3.76645
Def Leppard,Switch 625,44,0.311,0.959,,-7.191,0,0.0832,0.000523,0.875,0.15,0.0997,141.497,4,10,3.053333333
Bfb Da Packman,Honey Pack (feat. Lil Yachty & DDG) - Remix,54,0.566,0.622,4,-5.912,1,0.369,0.312,,0.238,0.347,185.08,4,5,3.8572
Namita Choudhary,Chaap Tilak,41,0.544,0.38,6,-8.339,1,0.0318,0.859,,0.0762,0.149,84.267,4,0,3.247016667
Headie One,Only You Freestyle,69,0.68,0.826,5,-2.561,1,0.27,0.562,,0.254,0.804,146.95,4,5,4.14895
KISS,Strutter,63,0.511,0.912,1,-5.618,1,0.0594,0.0247,0.0553,0.0943,0.833,131.339,4,8,3.181116667
Black Map,Run Rabbit Run,40,0.371,0.981,9,-2.232,1,0.0737,2.54E-05,0.0209,0.819,0.45,161.988,4,10,3.348316667
Adult Mom,Breathing,31,0.542,0.668,,-5.924,1,0.0309,0.225,1.87E-06,0.096,0.651,104.914,4,1,3.24385
ONE OK ROCK,Renegades,68,0.536,0.857,5,-4.254,0,0.0614,0.000849,0.000151,0.152,0.332,153.943,4,9,4.075633333
Johnny Copeland,Rolling With The Punches,35,0.73,0.799,8,-8.254,1,0.0258,0.0742,0.01,0.176,0.884,99.785,4,2,6.572216667
Venus VNR,Id√©al Turfu,31,0.693,0.72,8,-6.491,0,0.0447,0.0165,,0.295,0.633,116.026,4,6,2.693116667
Hot Hot Heat,Bandages,53,0.376,0.947,4,-3.778,0,0.0902,0.00757,,0.107,0.859,150.212,4,1,3.538883333
Curtis Salgado,Is There Something I Should Know,36,0.559,0.463,3,-5.693,1,0.0289,0.382,1.12E-05,0.139,0.319,107.89,3,2,4.492
Ozzy Osbourne,Let Me Hear You Scream,54,0.492,0.979,,-2.315,1,0.0888,0.000367,,0.953,0.315,130.005,4,8,3.43
Killswitch Engage,In Due Time,56,0.486,0.959,,-3.857,0,0.0485,0.000203,0.0259,0.173,0.527,84.997,4,8,3.292883333
Einar Selvik,Hrafnsm√°l - The Words of the Raven,46,0.558,0.428,1,-10.608,1,0.0284,0.065,0.00357,0.0931,0.164,110.022,5,8,5.336216667
Aretha Franklin,One Step Ahead,49,0.384,0.206,,-11.961,0,0.0319,0.826,,0.553,0.667,170.172,4,5,2.56
Whethan,Freefall (feat. Oliver Tree),54,0.559,0.674,7,-6.554,1,0.0552,0.00681,,0.546,0.808,127.009,4,1,2.591633333
Martha and the Muffins,Echo Beach,58,0.54,0.746,7,-9.412,1,0.045,0.13,8.73E-06,0.0976,0.826,163.809,4,6,3.66445
I Prevail,Breaking Down,64,0.503,0.568,4,-7.182,0,0.0341,0.00131,0.00144,0.0856,0.0705,126.935,4,10,3.435783333
Michael Kaeshammer,Who Are You,26,0.448,0.896,5,-7.168,0,0.11,0.123,0.00247,0.986,0.691,95.495,4,2,4.201783333
Ketan Mohite,Space Trip,18,0.484,0.552,2,-13.993,1,0.034,0.00344,0.881,0.0902,0.231,149.984,4,6,2.24
Col. Bruce Hampton & The Aquarium Rescue Unit,Working On A Building - Live,30,0.555,0.809,2,-13.029,1,0.0374,0.022,0.219,0.977,0.651,108.347,4,10,4.75955
Fred again..,Dermot (See Yourself In My Eyes),57,0.573,0.727,,-7.616,1,0.0664,0.132,0.0584,0.192,0.22,150.034,4,1,3.8143
Mere Notilde,Unlimited,27,0.697,0.706,6,-2.784,0,0.133,0.00156,0.0827,0.379,0.669,113.034,4,6,2.90265
The Snuts,Glasgow,56,0.22,0.896,11,-0.885,1,0.083,0.00041,8.51E-05,0.0653,0.18,135.279,4,6,4.437116667
Lupe Fiasco,Daydreamin' (feat. Jill Scott),59,0.533,0.739,5,-3.573,0,0.0602,0.029,,0.266,0.617,81.37,4,5,3.905116667
Denzel Curry,So.Incredible.pkg [Robert Glasper Version Feat. Smino],56,0.66,0.816,10,-5.993,0,0.366,0.383,,0.414,0.853,88.323,4,5,3.2605
Eddie Cochran,Sittin' In The Balcony,26,0.508,0.479,7,-14.201,1,0.0685,0.625,7.03E-05,0.356,0.825,143.253,4,10,2.03
JAWS,Untitled,31,0.469,0.84,5,-7.203,1,0.0465,0.00249,0.0273,0.352,0.234,104.489,4,6,4.363116667
The Monks,Complication,34,0.476,0.731,,-7.658,1,0.148,0.484,0.000392,0.129,0.613,126.8,4,1,2.376883333
Hebron,Wolves All Around Me,36,0.583,0.532,5,-5.762,0,0.0558,0.212,0.00256,0.0695,0.724,184.111,4,2,3.466516667
Kelly Clarkson,I Dare You (ŸÉŸÜÿ™ÿ≠ÿØÿßŸÉ) [feat. Faouzia],43,0.607,0.688,2,-7.194,1,0.0358,0.012,,0.11,0.384,123.979,4,9,3.60205
Blonder,In and Out,35,0.58,0.674,4,-6.66,0,0.0327,0.0013,0.562,0.142,0.49,126.976,4,10,3.329016667
Blackalicious,Swan Lake,51,0.894,0.53,9,-9.995,0,0.22,0.121,0.012,0.353,0.627,95.864,4,5,5.65645
Alexisonfire,Young Cardinals,46,0.382,0.957,8,-4.715,1,0.0941,0.000173,0.000166,0.119,0.178,153.88,4,10,3.63045
David Nail,Whatever She's Got,64,0.527,0.723,1,-6.134,1,0.0411,0.217,,0.037,0.888,160.465,4,4,3.946666667
Everything Everything,Distant Past,51,0.694,0.812,11,-6.473,0,0.0355,0.0666,0.000533,0.211,0.522,129.988,4,1,3.694883333
First Aid Kit,On the Road Again,43,0.645,0.537,,-13.35,1,0.0361,0.078,,0.0749,0.616,111.663,4,6,2.42175
Allison Russell,Nightflyer,55,0.482,0.333,2,-9.78,1,0.0636,0.705,,0.106,0.414,73.271,4,1,4.925783333
Calica,Little Girl,47,0.58,0.712,2,-8.514,1,0.0318,0.611,2.27E-05,0.196,0.33,110.007,4,6,3.381816667
Beck,Loser,66,0.615,0.616,6,-10.39,0,0.133,0.0399,0.000129,0.348,0.836,170.776,4,9,3.916666667
The Vaccines,I Can't Quit,52,0.497,0.788,,-4.396,1,0.0319,1.71E-05,0.378,0.421,0.498,128.037,4,10,2.71245
Boys Like Girls,The Great Escape,64,0.423,0.94,1,-4.012,0,0.0635,0.00166,,0.178,0.505,149.934,4,10,3.442
Jacco Gardner,Find Yourself,35,0.579,0.74,10,-5.926,0,0.0277,0.0164,0.653,0.0996,0.752,150.02,4,6,3.5696
Sodom,Friendly Fire,27,0.431,0.992,7,-5.391,1,0.0655,3.45E-05,0.512,0.403,0.111,95.06,4,8,3.613116667
Regev Hod,"◊ê◊ó◊ô, ◊ê◊ú ◊™◊ú◊ö ◊ú◊ô",38,0.612,0.529,4,-5.317,0,0.0294,0.22,,0.341,0.3,139.979,4,9,4.561016667
Queen,Under Pressure - Remastered 2011,80,0.671,0.712,2,-7.815,1,0.0476,0.429,,0.103,0.462,113.805,4,10,4.140666667
Dani Litani,◊û◊©◊ë◊® ◊ê◊û◊ï◊ü,32,0.485,0.652,7,-8.903,1,0.0655,0.757,,0.131,0.406,77.95,4,10,3.76445
Jimmy Dawkins,Kold Actions,34,0.62,0.0827,,-20.88,1,0.0625,0.368,0.051,0.0621,0.424,145.108,3,2,7.292883333
Kisnue,NIGHTMARE,31,0.727,0.591,7,-5.712,1,0.0336,0.0454,0.011,0.352,0.665,131.999,4,10,2.715783333
"Rajery, Ballaké Sissoko, Driss El Maloumi",Kadiatou,25,0.389,0.236,5,-11.633,1,0.0388,0.803,0.74,0.11,0.139,137.499,4,7,4.537783333
LILHUDDY,America's Sweetheart,71,0.589,0.438,1,-7.431,0,0.0277,0.573,,0.128,0.0752,127.329,4,10,3.41375
Joshua Bassett,Telling Myself,64,0.771,0.813,11,-4.002,0,0.0485,0.177,,0.0717,0.886,131.024,4,9,2.820266667
Jools,How Can Some Experience What Pride Is Without Liberation for All?,40,0.477,0.941,8,-4.152,1,0.0623,0.00287,0.00108,0.123,0.466,74.959,4,10,3.545716667
"David ""Honeyboy"" Edwards",Crossroads,27,0.537,0.356,9,-8.6,1,0.0458,0.927,0.0653,0.307,0.312,92.399,4,2,3.441116667
The Groans,Colors,24,0.529,0.835,4,-6.128,1,0.0358,0.00225,0.00545,0.151,0.694,134.791,4,1,4.15565
Vulvodynia,The Shadowy Descent of Gaia,37,0.453,0.983,,-3.649,1,0.176,2.91E-06,0.879,0.166,0.0728,124.998,4,8,4.71525
Hanan Ben Ari,◊ì◊ï◊®,36,0.531,0.588,2,-5.799,0,0.0364,0.0416,,0.432,0.264,145.937,4,9,3.68665
Shadow and Light,Kahaani,,0.629,0.451,2,-10.076,1,0.0271,0.508,0.000947,0.07,0.314,116.966,1,0,4.3376
TORA,Desire,28,0.62,0.613,7,-6.578,1,0.113,0.00229,0.000114,0.107,0.687,82.03,4,2,3.066083333
Papa Roach,Born for Greatness - Cymek Remix,51,0.48,0.648,1,-8.708,1,0.172,0.0735,8.74E-05,0.114,0.282,134.845,4,10,3.2
War & Pierce,Amen,50,0.785,0.43,4,-9.453,0,0.0653,0.316,0.00159,0.0829,0.491,85.99,4,2,4.124633333
LAYNE,Dumb Girl,32,0.625,0.722,3,-6.073,1,0.0276,0.0162,0.122,0.133,0.797,120.024,4,9,3.0208
Miley Cyrus,Midnight Sky,79,0.705,0.814,4,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,110,4,1,3.721316667
Eyd√≠s Evensen,Bylur,49,0.184,0.207,2,-17.119,1,0.033,0.94,0.931,0.0772,0.089,79.979,3,1,4.186216667
Dent May,Sea Salt & Caramel,26,0.684,0.71,9,-4.837,1,0.0323,0.252,,0.37,0.934,119.039,4,1,3.165766667
Low Island,Feel Young Again,37,0.681,0.717,9,-8.112,0,0.0346,0.143,0.000299,0.409,0.177,124.048,4,9,3.704733333
The Church,Reptile,49,0.435,0.671,7,-13.126,0,0.0396,0.0206,0.0096,0.208,0.497,156.979,4,10,4.932883333
Lil Wayne,Uproar,71,0.743,0.87,1,-2.188,1,0.212,0.0595,,0.299,0.884,99.079,4,5,3.2364
Billy Idol,White Wedding,62,0.677,0.62,9,-11.766,1,0.0364,0.0335,0.0529,0.285,0.672,146.74,4,10,0.000140619
Travis Barker,Forever,45,0.444,0.909,1,-6.766,1,0.258,0.000323,0.0559,0.152,0.594,169.765,4,10,2.857116667
Dermot Kennedy,Glory,58,0.551,0.604,2,-7.448,1,0.0434,0.0327,,0.0836,0.18,76.514,4,9,3.702883333
Motorbike James,Common Sensei,28,0.569,0.695,9,-7.01,0,0.0283,0.0107,0.038,0.108,0.277,111.968,4,10,4.288333333
Billy Idol,Sweet Sixteen,56,0.595,0.594,9,-12.682,0,0.0326,0.563,0.0339,0.114,0.703,156.342,4,10,4.296883333
Keane,Silenced By The Night,55,0.515,0.809,1,-5.051,1,0.0288,0.00188,9.86E-06,0.0983,0.237,111.985,4,10,3.27445
The Brian Jonestown Massacre,Who dreams of cats?,38,0.492,0.952,,-5.915,1,0.0407,6.40E-06,0.916,0.105,0.294,111.994,4,10,3.57555
James,Born Of Frustration,45,0.521,0.935,10,-4.261,1,0.0425,0.0361,1.56E-06,0.277,0.332,111.023,4,6,4.60045
Tides From Nebula,Ghost Horses,39,0.202,0.891,1,-7.289,1,0.098,2.50E-05,0.961,0.0717,0.0518,130.708,4,8,5.883333333
KiDi,Touch It,50,0.893,0.757,10,-2.843,1,0.0738,0.112,0.0634,0.107,0.681,95.018,4,9,2.75
EL VY,"Return to the Moon (Political Song for Didi Bloome to Sing, with Crescendo)",45,0.698,0.901,2,-6.664,1,0.0392,0.00954,0.415,0.11,0.834,124.973,4,1,4.21755
"Akhil Sachdeva, Mansheel Gujral",Humsafar,60,0.319,0.552,7,-6.401,1,0.0307,0.719,,0.144,0.221,93.991,4,3,4.474383333
The Dangerous Summer,The Permanent Rain,55,0.57,0.844,10,-4.797,1,0.0542,0.0486,,0.0936,0.709,124.983,4,10,3.392666667
Green Day,Oh Yeah!,58,0.623,0.792,11,-6.37,1,0.0664,7.00E-05,0.00467,0.159,0.584,127.041,4,10,2.852683333
Ryan Corn,The Pressure - Acoustic,44,0.714,0.305,5,-9.072,1,0.0284,0.752,,0.113,0.54,96.975,4,0,3.63868333
Savannah Conley,Being Around You,26,0.598,0.591,8,-5.387,1,0.0262,0.179,0.00066,0.0714,0.467,93.071,3,1,2.974733333
Kelly Lee Owens,Re-Wild (Breaka Remix),26,0.623,0.852,6,-8.573,0,0.0446,0.0241,0.795,0.297,0.341,128.984,4,1,5.271733333
"In My Frame, Sarthak Kalyani",Tore Bina Mohe,20,0.412,0.571,4,-10.853,0,0.0644,0.629,0.000108,0.27,0.165,139.913,3,0,3.60675
Shire T,Blue Kiss,43,0.633,0.969,7,-6.112,1,0.0581,0.0113,0.654,0.123,0.603,138.946,4,6,4.262666667
Etran Finatawa,Tiguedimma,16,0.597,0.702,4,-6.246,0,0.0412,0.156,0.0146,0.266,0.403,158.899,3,2,4.60645
Joe Ely,Musta Notta Gotta Lotta,38,0.417,0.79,4,-10.237,1,0.0666,0.0781,0.00014,0.0823,0.847,95.001,4,10,2.583333333
Train,Ramble On,41,0.568,0.686,9,-6.08,1,0.0284,0.0978,0.0523,0.109,0.886,98.333,4,10,4.37155
Jefferson Airplane,White Rabbit,69,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,4,10,2.510666667
Don't Let Me Disappear,Ben Harper,51,0.491,0.465,7,-12.068,1,0.0269,0.361,0.268,0.157,0.0498,139.897,4,0,4.408716667
Creedence Clearwater Revival,Bad Moon Rising,78,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87E-06,0.063,0.942,178.946,4,10,2.36
Harkla,We the Shaded,33,0.446,0.922,2,-6.953,1,0.0447,4.84E-06,0.00821,0.195,0.403,140.055,4,8,5.029166667
Pankaj Udhas,Jeeye to Jeeye Kaise,43,0.486,0.489,,-11.968,1,0.0306,0.249,,0.156,0.682,128.731,4,3,3.499333333
Elton Willis Trio,I Can’t Get Started,53,0.496,0.146,,-19.599,1,0.0362,0.896,0.925,0.137,0.117,121.34,4,7,4.413916667
Brad Mehldau Trio,Friends,40,0.453,0.313,2,-15.476,1,0.036,0.714,0.805,0.107,0.404,124.846,3,7,8.256
Monica Sex,◊û◊õ◊î ◊ê◊§◊ï◊®◊î,46,0.561,0.67,11,-9.373,0,0.0369,0.0666,0.000144,0.352,0.624,141.784,4,10,3.719333333
JunkBunny,See You In Heaven,30,0.653,0.545,11,-8.189,1,0.0792,0.000217,4.82E-06,0.0393,0.563,118.006,4,10,4.200666667
U2,The Fly,50,0.507,0.934,11,-8.888,0,0.0553,3.52E-05,0.0253,0.161,0.417,108.345,4,10,4.484216667
Phat Phunktion,Well Run Dry,40,0.71,0.914,9,-3.592,1,0.0749,0.0602,0.00377,0.165,0.742,125.039,4,10,4.080666667
Awake Again,Busy Doing Nothing,,0.42,0.985,6,-4.362,1,0.109,4.74E-05,2.86E-05,0.277,0.506,111.566,4,8,3.17075
Scott Hamilton,Forelsket i København,47,0.385,0.1,2,-13.827,1,0.043,0.96,0.198,0.11,0.199,54.041,4,7,5.455116667
Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),82,0.652,0.383,2,-7.076,0,0.0516,0.0676,,0.0828,0.549,145.765,4,9,2.983233333
Adult Oriented Pop,Once in a Lifetime,17,0.583,0.817,11,-5.692,0,0.0358,0.0569,0.0119,0.344,0.679,118.008,4,9,4.529016667
Dead Poetic,New Medicines,49,0.489,0.891,6,-4.507,0,0.0574,1.33E-05,3.16E-06,0.0722,0.558,145.016,4,10,4.034
"Udit Narayan, Alka Yagnik",Mera Mann,40,0.405,0.762,8,-9.49,1,0.0629,0.488,2.21E-06,0.157,0.721,129.704,4,3,4.597333333
Tru,No More,29,0.829,0.588,,-4.954,1,0.036,0.0531,0.00431,0.0779,0.497,104.968,4,5,3.733333333
Young the Giant,Superposition,68,0.593,0.697,7,-5.416,1,0.0399,0.00289,0.0257,0.14,0.428,170,4,10,3.849333333
Fitila,Need You,43,0.848,0.626,6,-3.675,0,0.0939,0.335,5.64E-05,0.115,0.718,93.995,4,9,3.310033333
LAYNE,Dumb Girl,32,0.625,0.722,3,-6.073,1,0.0276,0.0162,0.122,0.133,0.797,120.024,4,6,3.0208
Deante' Hitchcock,D√©j√† Vu (feat. Guapdad 4000),41,0.763,0.605,8,-6.199,1,0.255,0.174,1.49E-06,0.169,0.404,139.023,4,5,3.801866667
Yard Act,Dark Days,41,0.628,0.855,4,-6.967,0,0.234,0.000668,,0.107,0.897,130.061,4,6,3.087466667
moanday,Blue Ceiling,55,0.85,0.687,6,-8.967,0,0.0411,0.0522,0.229,0.0816,0.797,109.995,4,6,2.781816667
Westlife,Try Again,4,0.571,0.613,5,-6.278,1,0.0245,0.024,,0.144,0.165,81.948,4,9,5.98147E-05
Transformation,Van Morrison,,0.443,0.654,4,-5.812,1,0.0325,0.733,1.11E-05,0.122,0.728,154.306,3,0,3.529783333
Jason Mraz,I'm Yours,37,0.549,0.107,,-16.147,1,0.0844,0.957,,0.111,0.307,74.63,4,9,3.650883333
Swarm,The Deed Is Done,10,0.504,0.99,1,-1.858,1,0.128,3.38E-05,0.0578,0.356,0.182,115.047,4,8,3.393333333
All Our Exes Live in Texas,When the Sun Comes Up,24,0.253,0.375,7,-9.15,1,0.0295,0.8,0.00023,0.11,0.132,174.782,3,0,3.92645
Feeder,Children of the Sun,43,0.485,0.739,9,-4.938,0,0.0273,0.00913,4.17E-06,0.186,0.15,135.91,4,10,4.34135
Sasha Sloan,when was it over? (feat. Sam Hunt),75,0.626,0.453,7,-9.295,1,0.0306,0.816,1.91E-06,0.0904,0.494,129.958,4,9,3.634883333
Eden Hason,◊ê◊ú ◊™◊©◊ë◊®◊ô ◊ú◊ô ◊ê◊™ ◊î◊ú◊ë,48,0.603,0.265,11,-9.893,0,0.0335,0.844,,0.0758,0.371,139.539,4,9,2.676516667
Tune-Yards,Cannonball,41,0.226,0.926,3,-5.39,1,0.262,0.00141,0.000111,0.103,0.747,184.66,3,6,3.1518
Joey Landreth,Where Did I Go Wrong,29,0.677,0.608,1,-6.225,1,0.0957,0.239,7.24E-05,0.258,0.914,76.034,4,2,4.33355
Runnin' Wild,How You Want It Done,27,0.614,0.953,9,-3.539,1,0.0517,0.0771,0.0333,0.372,0.796,108.965,4,10,3.170666667
Berry Sakharof,◊ê◊û◊ï◊†◊î ◊¢◊ô◊ï◊ï◊®◊™,31,0.457,0.534,7,-13.65,1,0.03,0.0891,5.53E-06,0.183,0.424,94.117,4,10,4.883333333
MARINA,Ancient Dreams In A Modern Land,60,0.578,0.793,10,-5.002,0,0.0453,0.0166,,0.304,0.638,137.915,4,9,3.434666667
Franz Ferdinand,Walk Away,56,0.584,0.836,2,-4.487,1,0.0348,0.132,1.10E-06,0.144,0.495,124.131,4,6,3.67245
Andreas Dalvik,My Hidden Treasure,45,0.492,0.177,9,-17.666,1,0.0731,0.986,0.961,0.111,0.67,179.466,4,7,4.08275
Rob Thomas,Ever the Same,63,0.435,0.729,1,-4.818,0,0.0307,0.0152,2.63E-05,0.11,0.524,188.017,4,10,4.276666667
Blood Cultures,Set it on Fire,46,0.586,0.851,2,-4.287,1,0.0302,0.00078,0.000608,0.106,0.435,112.062,4,9,3.550883333
Zlatan,Gbeku,42,0.94,0.843,3,-1.854,0,0.167,0.168,0.00154,0.0536,0.856,112.06,4,9,3.9148
"Florence Beatrice Price, Randall Goosby, Zhu Wang",Adoration,50,0.151,0.0857,7,-25.567,1,0.0521,0.984,0.0636,0.0899,0.0621,78.785,4,7,3.635116667
Walter Trout,Pray For Rain,43,0.425,0.0863,5,-15.163,1,0.0357,0.962,0.00615,0.124,0.362,154.328,4,2,3.23355
Internet Money,JETSKI (feat. Lil Mosey & Lil Tecca),79,0.883,0.446,8,-8.723,0,0.296,0.0253,,0.103,0.463,92.95,4,5,2.752683333
Sala,Together,12,0.347,0.8,3,-5.527,1,0.0608,0.0343,,0.551,0.712,171.226,4,9,4.36445
Kenny Dorham,Alone Together - Rudy Van Gelder Remaster,52,0.336,0.0619,5,-20.494,0,0.0363,0.985,0.891,0.11,0.197,60.705,4,7,3.173333333
Joana Serrat,Pictures,28,0.589,0.777,7,-7.537,1,0.0314,0.000987,0.249,0.318,0.482,132.031,4,1,5.10095
Dermot Kennedy,A closeness,60,0.526,0.458,5,-9.472,1,0.0384,0.766,0.000335,0.109,0.501,76.972,4,9,4.186216667
System Of A Down,Aerials,73,0.364,0.922,,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,4,10,3.91755
CHASE WRIGHT,Why Should We,69,0.578,0.763,8,-7.498,0,0.0443,0.472,,0.135,0.561,92.01,4,4,2.880433333
Mere Notilde,Mono,33,0.839,0.773,11,-5.941,1,0.12,0.013,0.353,0.69,0.761,118.008,4,6,3.11865
Haley Heynderickx,Francis,40,0.653,0.337,,-14.722,0,0.0347,0.878,6.22E-05,0.0841,0.214,84.146,4,1,2.05
"blackbear, Tate McRae",u love u (with Tate McRae),76,0.544,0.704,4,-5.678,0,0.0435,0.0156,,0.164,0.265,80.029,4,9,5.25172E-05
Rage Against The Machine,Bullet In The Head,59,0.431,0.855,9,-4.205,1,0.15,0.00673,0.00114,0.639,0.397,163.014,4,10,5.111333333
Mooki,◊¢◊ï◊ß◊£ ◊û◊ú◊û◊¢◊ú◊î,25,0.629,0.829,2,-4.734,0,0.0694,0.039,,0.764,0.72,92.018,4,5,4.235783333
Graveyard,Please Don't,40,0.319,0.866,2,-4.722,0,0.0359,1.42E-06,0.756,0.155,0.554,109.626,4,8,4.21155
Ray LaMontagne,Strong Enough,56,0.717,0.706,2,-8.612,1,0.0278,0.116,1.51E-05,0.184,0.967,130.543,4,10,3.57755
Power Trip,Hornet's Nest,50,0.22,0.982,4,-3.912,1,0.121,5.85E-05,0.289,0.661,0.241,171.928,4,8,4.663516667
Peter Broderick,Earnest Leslye,39,0.266,0.0667,2,-20.758,1,0.0399,0.975,0.918,0.0996,0.0391,126.037,4,1,3.816666667
Fleetwood Mac,Dreams,85,0.828,0.492,,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4,10,4.296666667
Wooden Shjips,Everybody Knows,38,0.352,0.621,2,-9.036,1,0.033,0.000114,0.855,0.0974,0.218,123.817,4,10,5.309333333
Little Dragon,The Other Lover (Little Dragon & Moses Sumney),58,0.633,0.451,3,-9.66,1,0.133,0.75,0.0581,0.0995,0.475,162.112,4,6,4.081383333
Bonnie Tyler,Dreams Are Not Enough,36,0.594,0.872,,-4.73,0,0.0338,0.00263,,0.351,0.832,115.965,4,10,3.527116667
Mob Rich,Everything and Nothing,23,0.764,0.601,6,-8.287,0,0.0421,0.0353,0.0268,0.335,0.622,105.994,4,9,3.126783333
Boom Pam,◊ë◊ï◊ù ◊§◊ù - ◊í◊®◊°◊î ◊ß◊¶◊®◊î,26,0.569,0.809,4,-7.921,0,0.0363,0.194,0.00559,0.158,0.72,102.736,4,10,4.136
Mad Bliss,Everyone,2,0.332,0.444,2,-6.772,1,0.0293,0.00442,2.92E-06,0.126,0.128,125.568,4,6,4.95445
Godsmack,1000hp,52,0.52,0.948,6,-3.951,0,0.0515,4.36E-05,1.41E-05,0.0525,0.471,92.091,4,8,3.775666667
Briston Maroney,Sinkin',45,0.589,0.75,4,-7.086,1,0.0654,0.00162,,0.262,0.43,130.097,4,6,3.159333333
Defamed,In Tenebris,39,0.263,0.957,1,-4.867,1,0.149,0.00126,0.864,0.0756,0.151,179.512,3,8,4.2798
Django Django,Default,54,0.747,0.875,1,-5.635,1,0.0282,0.00733,1.10E-06,0.184,0.913,115.967,4,10,3.094
Tooth & Nail,Done Me Wrong,41,0.247,0.774,6,-8.412,0,0.0399,0.00425,0.0146,0.0678,0.638,96.026,4,10,3.21925
Sam Smith,Stay With Me,82,0.418,0.42,,-6.444,1,0.0414,0.588,6.39E-05,0.11,0.184,84.094,4,9,2.878733333
Damageplan,Save Me,47,0.486,0.944,7,-3.924,1,0.0552,5.25E-05,0.00931,0.103,0.573,108.799,4,8,3.567333333
"Asha Bhosle, Mahendra Kapoor",Hum Jab Simat Ke Aapki Bahon Men,21,0.457,0.252,9,-11.058,1,0.0349,0.988,0.231,0.114,0.511,108.79,4,3,5.4624
The Subways,Fight,42,0.446,0.963,6,-5.972,1,0.0987,0.0612,,0.323,0.727,165.028,4,10,2.69355
Depeche Mode,"Just Can't Get Enough - Live at Rose Bowl, Pasadena, CA - June 18, 1988",41,0.632,0.962,7,-8.995,1,0.0407,0.119,0.0132,0.639,0.965,128.085,4,9,6.70258E-05
Taylor Swift,evermore (feat. Bon Iver),69,0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,5,9,5.06845
Masterpiece - (solo),Big Thief,44,0.555,0.183,4,-8.58,1,0.0375,0.884,,0.116,0.223,131.22,4,0,4.015916667
Booka Shade,Hope,46,0.608,0.648,8,-9.342,1,0.0358,0.00073,0.834,0.0923,0.361,121.997,4,6,6.191666667
Sum 41,Fat Lip,73,0.402,0.914,9,-5.215,1,0.142,0.000579,,0.065,0.626,196.505,4,9,2.971116667
Led Zeppelin,Kashmir - Remaster,70,0.48,0.536,2,-11.166,1,0.0427,0.488,4.22E-05,0.155,0.581,80.617,3,10,8.47
Chase Rice,Eyes On You,73,0.606,0.652,9,-6.982,1,0.0281,0.323,,0.201,0.476,97.155,4,4,3.04155
